license_num,status,license_type,issued,expires,business_name,dba_name,comments,location_comments,applicant,manager,day_phone,evening_phone,address,city,state,zip,gpsx,gpsy
CAL-495145,Active,Non-Live Entertainment,2022-10-20,2022-12-31,"Madhouse Cafe, LLC",Madhouse Cafe,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Julia Shia,Julia Shia,(617)686-0740,,24-   Blue Hill AVE,Boston,MA,02119,770972.905474213,2943481.68626271
CAL-490510,Active,Live Entertainment,2022-10-13,2023-12-31,Puttshack Boston Seaport LLC,Puttshack,1 Live entertainment may be operated seven 7 days as follows Sunday Wednesday 11 00 m until 12 Thursday Satuday 2 Entertainment is not to exceed 70 decibels any time 50 between p per Boston Noise Ordinance 3 permitted outside,,Kerry Henderson,Kerry Henderson,,,58-  Pier 4 Bl,Boston,MA,02210,779424.457648896,2952940.14916719
CAL-494605,Active,Non-Live Entertainment,2022-10-12,2022-12-31,3W&Z CORP.,Taiwan Cafe,1 Noise levels not to exceed 70 dB any time may 50 between 11pm 7am per Boston Ordinance 2 Entertainment IS NOT permitted outside,,Jessica Wang,Jessica Wang,,,34-   Oxford ST,Boston,MA,02111,775045.999997526,2953410.00001046
CAL-494121,Active,Non-Live Entertainment,2022-10-05,2022-12-31,Yak Thai Inc.,Thonglor,1 Noise levels not to exceed 70 dB any time may 50 between 11pm 7am per Boston Ordinance 2 Entertainment IS NOT permitted outside,,Piyapong Wongla,Piyapong Wongla,(781)472-0835,(781)472-0835,559-  Washington ST,Brighton,MA,02135,747073.290888116,2952561.78378218
CAL-493561,Active,Non-Live Entertainment,2022-09-29,2023-12-31,"BR Kenmore, LLC",Pescador,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between 11pm 7am per Boston Ordinance,,Robert Anderson,Robert Anderson,(203)733-6293,,498-  Commonwealth AVE,Boston,MA,02215,765428.416579366,2952278.92936102
CAL-493566,Active,Non-Live Entertainment,2022-09-27,2023-12-31,"Mecha Noodle Bar Boston, LLC",Mecha Noodle Bar,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,,CHARMALIE JAYASEKERA,CHARMALIE JAYASEKERA,,,44-  Thomson PL,Boston,MA,02210,778518.15635963,2953535.09450525
CAL-493164,Active,Non-Live Entertainment,2022-09-26,2023-12-31,Bunker Hill Restaurant LLC,Waverly,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,,Jon Sweeney,Jon Sweeney,(781)710-4290,,229-  Bunker Hill ST,Charlestown,MA,02129,774159.616668701,2963612.03393996
CAL-493177,Active,Non-Live Entertainment,2022-09-26,2023-12-31,,Chattermark Distillers,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,,John Sorgini,John Sorgini,(617)356-1866,,200     Terminal ST,Charlestown,MA,02129,777736.537632033,2964977.56293324
CAL-492637,Active,Non-Live Entertainment,2022-09-19,2023-12-31,PremAir of Boston LLC,Harpoon Tap Room,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Terminal A; Unit AS2-A13/1,Kelliann McClintock,Kelliann McClintock,(845)901-4294,,100     Terminal RD,East Boston,MA,02128,785396.803968415,2958229.8427222
CAL-491445,Active,Non-Live Entertainment,2022-09-14,2022-12-31,Cannonball Cafe LLC,Cannonball Cafe,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,,Rachel Lazar,Rachel Lazar,(617)910-5533,,383-   Dorchester AVE,Boston,MA,02127,775866.057325255,2947442.37002128
CAL-491962,Active,Non-Live Entertainment,2022-09-08,2023-12-31,MINOT HOSPITALITY GROUP LLC,Beacon Hill Hotel,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,,Thomas Santaniello,Thomas Santaniello,(857)334-5449,,25-   Charles ST,Boston,MA,02114,772484.048390079,2955384.16914426
CAL-491970,Active,Live Entertainment,2022-09-07,2023-12-31,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,,Jason Waddleton,Jason Waddleton,(617)792-9092,,284-  Amory ST,Jamaica Plain,MA,02130,763321.291676366,2939914.80902498
CAL-490400,Active,Non-Live Entertainment,2022-08-25,2023-12-31,"DELTA AIR LINES, INC.",Delta Sky Club,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,,Rebecca Bassila,Rebecca Bassila,(404)715-4101,,500     Logan Airport Terminal E  ,East Boston,MA,02128,0,0
CAL-488692,Active,Live Entertainment,2022-08-24,2023-12-31,"175 IPSWICH STREET, LLC",MGM Music Hall at Fenway,Capacity to be set upon submission Certificate Inspection Place Assembly permit Entertainment is not permitted outsideThe licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity shall also aisles exits clear exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance have security outside closing make sure patrons exit in orderly fashion do congregate area,,Laura Marie Cancro,Laura Marie Cancro,(617)960-8328,,175-  Ipswich St,Boston,MA,02215,765560.152957334,2951559.87494153
CAL-490412,Active,Non-Live Entertainment,2022-08-23,2023-12-31,Cafe Darq LLC,Cafe Darq,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,,Kathy Phan,Kathy Phan,(617)338-0323,,40-   Beach ST,Boston,MA,02111,774672.420696764,2953471.13061936
CAL-489648,Active,Non-Live Entertainment,2022-08-22,2022-12-31,Fenway Plant Based LLC,Plant Pub Fenway,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,,Patrick McAuley,Patrick McAuley,(781)264-6485,,61     Brookline AVE,Boston,MA,02215,764545.999987751,2951790.00000896
CAL-489832,Active,Live Entertainment,2022-08-16,2023-12-31,"K&K RESTAURANT, Inc.",Estella,1 Noise levels not to exceed 70 dB any time may 50 between 11 00 PM 7 AM Per Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity 4 There shall be no designated dance floor Licensee operate as nightclub 5 Doors windows closed whenever live is in operation p m regardless type offered 6 Live operated seven days until Friday Saturdays Applicant apply additional via one process probationary period February 21 2023,,Helder Brandao,Helder Brandao,(617)980-0495,,49-  Temple PL,Boston,MA,02111,774597.871764498,2954645.56820664
CAL-488715,Active,Live Entertainment,2022-08-10,2023-12-31,"Boston Center for the Arts, Inc.",Boston Center for the Arts,1 Cyclorama 2 076 capacity Black Box Theater 90 Plaza 142 Mills Gallery 299 Lease held with Boston Redevelopment Authority 3 Entertainment is not permitted outside 4 Noise levels to exceed 70 dB any time may 50 between 11pm 7am per Ordinance 5 shall cease no later than m,,Kristi Keefe,Kristi Keefe,(617)828-9155,(617)426-1017,539     Tremont ST,Boston,MA,02116,772036.9456907359,2950928.24036016
CAL-488627,Active,Non-Live Entertainment,2022-08-05,2023-12-31,Venture 66 LLC,Halftime Pizza,1 Entertainment is not permitted outside 2 Sound levels shall exceed 70 dB any time may 50 between 11 00 p m 7 per Boston Noise Ordinance,,Justino Pasquale,Justino Pasquale,(781)854-8018,,115-  Causeway ST,Boston,MA,02114,774695.999997199,2958360.00001506
CAL-488524,Active,Non-Live Entertainment,2022-08-01,2023-12-31,LORD HOBO DRYDOCK LLC,Lord Hobo Seaport,1 Sound levels shall not exceed 70 dB any time may 50 between 11 00 p m 7 per Boston Noise Ordinance 2 Background music consisting an audio device is permitted on outdoor patio seven days week from 12 to,,Daniel Lanigan,Daniel Lanigan,(617)997-3236,,2-  Dry Dock AVE,Boston,MA,02210,781149.346658456,2951071.09866224
CAL-487381,Active,Non-Live Entertainment,2022-07-27,2023-12-31,Jumbo Oriental LLC,Jumbo Seafood,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 All windows doors must be closed during live entertainment,,Kenneth Leung,Kenneth Leung,(617)620-3091,,5-  Hudson ST,Boston,MA,02111,775092.447101578,2953269.21338633
CAL-481807,Active,Non-Live Entertainment,2022-07-07,2022-12-31,"More Than Words, Inc.",More Than Words,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Live entertainment be applied via one application,,Shaun Newell,Shaun Newell,,,242- E Berkeley ST,Boston,MA,02118,774179.483431241,2950491.22435736
CAL-481902,Active,Night Club,2022-06-30,2023-12-31,186 HARVARD AVE BAR LLC,HAN,Floorshow to consist dance performers Games dice game Entertainment is not permitted outside Live entertainment may be operated seven 7 days until 2 00 m cover charge shall posted in clear conspicuous place licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity also aisles exits have security closing patrons exit orderly fashion do congregate area exceed 70 decibels any time 50 between 11 p per Boston Noise Ordinance,,Henry Wong,Henry Wong,(617)669-8383,,186-   Harvard ST,Boston,MA,02124,768800.615479384,2933106.73550503
CAL-483356,Active,Non-Live Entertainment,2022-06-24,2023-12-31,"CILL DARA, INC.",Eugene O'Neill's,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Trivia on Wednesdays Sundays 4 All windows doors must be closed during live entertainment,,John Jacob,John Jacob,(781)414-9454,,3700-   Washington ST,Jamaica Plain,MA,02130,760912.162096366,2934778.72623311
CAL-483411,Active,Night Club,2022-06-24,2023-12-31,"Inishowen, Inc.",The Dubliner,1 There shall be no dance floor 2 cover charge without prior approval from Licensing Division 3 Entertainment is not permitted outside 4 Sound to exceed 70 decibels any time 50 between 11 p m 7 per city Boston s noise ordinance 5 All windows doors must closed during entertainment,,William McCarthy,William McCarthy,,,1-  Center PZ,Boston,MA,02108,775063.646935234,2956196.52976959
CAL-483079,Active,Non-Live Entertainment,2022-06-21,2023-12-31,GOPCHANG  BOSTON CORPORATION,Gopchang Story,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Jin Chong,Jin Chong,(617)921-8299,,973-   Commonwealth AVE,Boston,MA,02215,758967.066071862,2953523.30530572
CAL-483106,Active,Night Club,2022-06-21,2023-12-31,"Artists for Humanity, INC.",Artists for Humanity,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Licensee responsible submitting additional City permits attained events Licensing Division MOCAL boston gov 4 Floor show consist Dancer Performers Circus performance shall have liability insurance cover held licensed premise,,Anna Yu,Anna Yu,,,100- W Second St,South Boston,MA,02127,776836.71840943,2950298.54110946
CAL-479351,Active,Live Entertainment,2022-06-16,2023-12-31,"PKL Boston, LLC",PKL,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Table games consist five 5 pickleball courts four 4 shuffleboard Live entertainment consisting DJ Instrumental music up six 6 performers three vocalists5 Yard game cornholes Cover charge must be posted in clear conspicuous place 7 licensee periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take on premises 8 shall indemnify hold harmless City its employees from damage it sustain or required pay reason said act neglect agents relating such violations terms conditions this license,,Brian Weller,Brian Weller,,,64-  C ST,South Boston,MA,02127,776117.49526678,2948252.84522161
CAL-481928,Active,Non-Live Entertainment,2022-06-07,2023-12-31,Nguyen's Restaurant Inc,Phuong Nam Restaurant,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Kenny Dang,Kenny Dang,(617)602-6166,,291-   Adams ST,Dorchester,MA,02122,775692.999998137,2934359.99999271
CAL-481491,Active,Non-Live Entertainment,2022-06-01,2023-12-31,1885 CENTRE STREET LLC,Boston Ale House,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Only 21 TVs be utilized combined used as one screen 4 Trivia only on Wednesday nights,,William Lombard,William Lombard,(617)257-9503,,1885-   Centre ST,Boston,MA,02132,749298.045779037,2929415.65292934
CAL-481395,Active,Non-Live Entertainment,2022-05-27,2023-12-31,11 FAN PIER RESTAURANT LLC,Serafina,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Jonathan Brackman,Jonathan Brackman,,,11-  Fan Pier  BLVD,Boston,MA,02210,778983.697850013,2954436.66698274
CAL-481089,Active,Non-Live Entertainment,2022-05-26,2023-12-31,"Good Times Hospitality, LLC",The Flamingo,1 Entertainment is not permitted outside 2 Sound levels may exceed 70 dB any time 50 between 11pm 7am per Boston Noise Ordinance,,Tyrone Di Stasi,Tyrone Di Stasi,(617)512-5311,,266-   Commercial ST,Boston,MA,02109,777416.044447735,2958106.35863884
CAL-479349,Active,Non-Live Entertainment,2022-05-25,2022-12-31,Dly Hotpot Allston LLC,Da Long Yi Hot Pot,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Ping Hong Chen,Ping Hong Chen,(857)445-6656,,137-  Brighton Av,Allston,MA,02134,755805.000011608,2953920.00001094
CAL-479514,Active,Non-Live Entertainment,2022-05-25,2023-12-31,"J-Pizzle Boston, LLC",Jpizle Kitchen,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Cindy Villada,Cindy Villada,,,536-  Centre ST,Jamaica Plain,MA,02130,760760.468720228,2940729.08342265
CAL-465783,Active,Non-Live Entertainment,2022-05-19,2023-12-31,"SWEETGREEN BOSTON, LLC",Sweetgreen,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Oscar Ramirez,Oscar Ramirez,,,300-  Cambridge ST,Boston,MA,02114,772791.208771115,2956847.28400846
CAL-480613,Active,Non-Live Entertainment,2022-05-19,2023-12-31,"Telegraph Hill Tavern, LLC",Telegraph Hill Kitchen & Bar,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Per Acoustic Ordinance this licensee live acoustic music under following conditions 5 performersno amp except one microphoneperformance 10am 10pmhave handicap accessibility,,Paul Chioccariello,Paul Chioccariello,,,289-  Dorchester ST,South Boston,MA,02127,777097.245942712,2946338.93198283
CAL-480622,Active,Non-Live Entertainment,2022-05-19,2023-12-31,"SWEETGREEN BOSTON, LLC",Sweetgreen,1 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 2 Background music is permitted on outdoor patio during business hours only be heard patrons,,Kelsey Neydorff,Kelsey Neydorff,,,360-  Longwood AVE,Boston,MA,02215,762231.364616581,2948799.57096506
CAL-480625,Active,Non-Live Entertainment,2022-05-19,2023-12-31,BR Kenmore LLC,Blue Ribbon Sushi,1 Entertainment is permitted on outdoor patio capacity 4 Sound levels shall only be audible to patrons Speakers should directed towards premise not outward facing as prevent emanation sound into abutting areas 2 Noise exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Robert Anderson,Robert Anderson,,,500A-  Commonwealth AVE,Boston,MA,02215,765428.416579366,2952278.92936102
CAL-480346,Active,Non-Live Entertainment,2022-05-18,2023-12-31,"MMIR, LLC",Shu Da Xia Hot Pot,1 Entertainment is NOT permitted outside 2 All windows doors must be closed during live entertainment 3 Sound not to exceed 70 decibels any time 50 between 11 p m 7 per city Boston s noise ordinance,,Leroy Lee,Leroy Lee,,,580-   Commonwealth AVE,Boston,MA,02215,764467.80825397,2952389.6080676
CAL-475412,Active,Non-Live Entertainment,2022-05-10,2022-12-31,"Perros Paisas, Inc.",Perros Paisas,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Andres Jaramillo,Andres Jaramillo,,,350-   Bennington ST,East Boston,MA,02128,783985.000005856,2963719.99998806
CAL-479522,Active,Non-Live Entertainment,2022-05-03,2023-12-31,"Kojam, LLC",Faccia a Faccia,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Kenneth Oringer,Kenneth Oringer,,,276-278  Newbury St,Boston,MA,02116,768743.631664263,2952514.26545397
CAL-478946,Active,Live Entertainment,2022-04-28,2022-12-31,Mass. Convention Center Authority,Lawn on D 2022,1 EVENTS 2022 MAY TAKE PLACE FROM UNTIL OCTOBER 31 2 ENTERTAINMENT BE CONDUCTED BETWEEN HOURS 8 00 M 11 45 P 3 LICENSEE MUST MONITOR SOUND LEVELS TO ENSURE WITHIN LEGAL STANDARDS 4 OPERATED AS PER S CALENDAR SUBMITTED LICENSING DIVISION GIVE ADVANCE NOTICE LIVE CONCERTS OR OTHER SCHEDULE CHANGES,,Diane DiAntonio,Arthur Fritch,(617)954-2308,,415-  Summer ST,Boston,MA,02210,779005.40016013,2951483.06684572
CAL-478946,Active,Live Entertainment,2022-04-28,2022-12-31,Mass. Convention Center Authority,Lawn on D 2022,1 EVENTS 2022 MAY TAKE PLACE FROM UNTIL OCTOBER 31 2 ENTERTAINMENT BE CONDUCTED BETWEEN HOURS 8 00 M 11 45 P 3 LICENSEE MUST MONITOR SOUND LEVELS TO ENSURE WITHIN LEGAL STANDARDS 4 OPERATED AS PER S CALENDAR SUBMITTED LICENSING DIVISION GIVE ADVANCE NOTICE LIVE CONCERTS OR OTHER SCHEDULE CHANGES,,Diane DiAntonio,Diane DiAntonio,(617)954-2308,,415-  Summer ST,Boston,MA,02210,779005.40016013,2951483.06684572
CAL-476384,Active,Non-Live Entertainment,2022-04-19,2023-12-31,Workhub Boston LLC,Workhub at the Substation,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Licensee apply live entertainment ex DJ bands etc via one application No Liquor CV license this location,,Adam Rogoff,Adam Rogoff,(617)359-6012,,4228-  Washington St,Roslindale,MA,02131,756813.894110277,2929530.31918248
